#,Title,Category,Interaction,Description,Possible Mitigation(s),,,,,
1,An adversary may gain unauthorized access to Web API due to poor access control checks,Elevation of Privileges,Web App Request,An adversary may gain unauthorized access to Web API due to poor access control checks,Implement proper authorization mechanism in ASP.NET Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthz#authz-aspnet&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthz#authz-aspnet&amp;amp;lt;/a&amp;amp;gt;,,,,,
2,An adversary can gain access to sensitive information from an API through error messages,Information Disclosure,Web App Request,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names - Connection strings - Usernames - Passwords - SQL procedures - Details of dynamic SQL failures - Stack trace and lines of code - Variables stored in memory - Drive and folder locations - Application install points - Host configuration settings - Other internal application details ",Ensure that proper exception handling is done in ASP.NET Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#exception&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#exception&amp;amp;lt;/a&amp;amp;gt;,,,,,
3,An adversary can gain access to sensitive data by sniffing traffic to Web API,Information Disclosure,Web App Request,An adversary can gain access to sensitive data by sniffing traffic to Web API,Force all traffic to Web APIs over HTTPS connection. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#webapi-https&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#webapi-https&amp;amp;lt;/a&amp;amp;gt;,,,,,
4,An adversary can gain access to sensitive data stored in Web API's config files,Information Disclosure,Web App Request,"An adversary can gain access to the config files. and if sensitive data is stored in it, it would be compromised.",Encrypt sections of Web API&amp;#39;s configuration files that contain sensitive data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#config-sensitive&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#config-sensitive&amp;amp;lt;/a&amp;amp;gt;,,,,,
5,Attacker can deny a malicious act on an API leading to repudiation issues,Repudiation,Web App Request,Attacker can deny a malicious act on an API leading to repudiation issues,Ensure that auditing and logging is enforced on Web API. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#logging-web-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#logging-web-api&amp;amp;lt;/a&amp;amp;gt;,,,,,
6,An adversary may spoof Mango Web Application and gain access to Web API,Spoofing,Web App Request,"If proper authentication is not in place, an adversary can spoof a source process or external entity and gain unauthorized access to the Web Application ",Ensure that standard authentication techniques are used to secure Web APIs. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#authn-secure-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#authn-secure-api&amp;amp;lt;/a&amp;amp;gt;,,,,,
7,An adversary may inject malicious inputs into an API and affect downstream processes,Tampering,Web App Request,An adversary may inject malicious inputs into an API and affect downstream processes,Ensure that model validation is done on Web API methods. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#validation-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#validation-api&amp;amp;lt;/a&amp;amp;gt; Implement input validation on all string type parameters accepted by Web API methods. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#string-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#string-api&amp;amp;lt;/a&amp;amp;gt;,,,,,
8,An adversary can gain access to sensitive data by performing SQL injection through Web API,Tampering,Web App Request,"SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution. The primary form of SQL injection consists of direct insertion of code into user-input variables that are concatenated with SQL commands and executed. A less direct attack injects malicious code into strings that are destined for storage in a table or as metadata. When the stored strings are subsequently concatenated into a dynamic SQL command, the malicious code is executed. ",Ensure that type-safe parameters are used in Web API for data access. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtinputval#typesafe-api&amp;quot;&amp;amp;gt;https://aka.ms/tmtinputval#typesafe-api&amp;amp;lt;/a&amp;amp;gt;,,,,,
9,An adversary can reverse weakly encrypted or hashed content,Information Disclosure,Web API Response,An adversary can reverse weakly encrypted or hashed content,"Do not expose security details in error messages. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#messages&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#messages&amp;amp;lt;/a&amp;amp;gt; Implement Default error handling page. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#default&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#default&amp;amp;lt;/a&amp;amp;gt; Set Deployment Method to Retail in IIS. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#deployment&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#deployment&amp;amp;lt;/a&amp;amp;gt; Use only approved symmetric block ciphers and key lengths. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#cipher-length&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#cipher-length&amp;amp;lt;/a&amp;amp;gt; Use approved block cipher modes and initialization vectors for symmetric ciphers. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#vector-ciphers&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#vector-ciphers&amp;amp;lt;/a&amp;amp;gt; Use approved asymmetric algorithms, key lengths, and padding. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#padding&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#padding&amp;amp;lt;/a&amp;amp;gt; Use approved random number generators. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#numgen&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#numgen&amp;amp;lt;/a&amp;amp;gt; Do not use symmetric stream ciphers. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#stream-ciphers&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#stream-ciphers&amp;amp;lt;/a&amp;amp;gt; Use approved MAC/HMAC/keyed hash algorithms. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#mac-hash&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#mac-hash&amp;amp;lt;/a&amp;amp;gt; Use only approved cryptographic hash functions. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcrypto#hash-functions&amp;quot;&amp;amp;gt;https://aka.ms/tmtcrypto#hash-functions&amp;amp;lt;/a&amp;amp;gt; Verify X.509 certificates used to authenticate SSL, TLS, and DTLS connections. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtcommsec#x509-ssltls&amp;quot;&amp;amp;gt;https://aka.ms/tmtcommsec#x509-ssltls&amp;amp;lt;/a&amp;amp;gt;",,,,,
10,An adversary may gain access to sensitive data from log files,Information Disclosure,Web API Response,An adversary may gain access to sensitive data from log files,Ensure that the application does not log sensitive user data. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-sensitive-data&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-sensitive-data&amp;amp;lt;/a&amp;amp;gt; Ensure that Audit and Log Files have Restricted Access. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauditlog#log-restricted-access&amp;quot;&amp;amp;gt;https://aka.ms/tmtauditlog#log-restricted-access&amp;amp;lt;/a&amp;amp;gt;,,,,,
11,An adversary can gain access to sensitive information through error messages,Information Disclosure,Web API Response,"An adversary can gain access to sensitive data such as the following, through verbose error messages - Server names  - Connection strings  - Usernames  - Passwords  - SQL procedures  - Details of dynamic SQL failures  - Stack trace and lines of code  - Variables stored in memory  - Drive and folder locations  - Application install points  - Host configuration settings  - Other internal application details ",Do not expose security details in error messages. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#messages&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#messages&amp;amp;lt;/a&amp;amp;gt; Implement Default error handling page. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#default&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#default&amp;amp;lt;/a&amp;amp;gt; Set Deployment Method to Retail in IIS. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#deployment&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#deployment&amp;amp;lt;/a&amp;amp;gt; Exceptions should fail safely. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtxmgmt#fail&amp;quot;&amp;amp;gt;https://aka.ms/tmtxmgmt#fail&amp;amp;lt;/a&amp;amp;gt; ASP.NET applications must disable tracing and debugging prior to deployment. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtconfigmgmt#trace-deploy&amp;quot;&amp;amp;gt;https://aka.ms/tmtconfigmgmt#trace-deploy&amp;amp;lt;/a&amp;amp;gt; Implement controls to prevent username enumeration. Refer: &amp;amp;lt;a href=&amp;quot;https://aka.ms/tmtauthn#controls-username-enum&amp;quot;&amp;amp;gt;https://aka.ms/tmtauthn#controls-username-enum&amp;amp;lt;/a&amp;amp;gt;,,,,,
